size, statements
1, 7
2, 20
3, 29
4, 60
5, 70
6, 113
7, 127
8, 173
9, 194
10, 261
11, 283
12, 362
13, 385
14, 470
15, 512
16, 606
17, 643
18, 755
19, 793
20, 911
21, 953
22, 1086
23, 1150
24, 1289
25, 1342
26, 1502
27, 1568
28, 1725
29, 1792
30, 1976
31, 2044
32, 2225
33, 2300
34, 2502
35, 2578
36, 2801
37, 2884
38, 3098
39, 3203
40, 3435
41, 3514
42, 3785
43, 3865
44, 4121
45, 4229
46, 4512
47, 4603
48, 4880
49, 4987
50, 5294
51, 5399
52, 5694
53, 5821
54, 6158
55, 6256
56, 6602
57, 6701
58, 7059
59, 7198
60, 7547
61, 7681
62, 8036
63, 8174
64, 8571
65, 8707
66, 9077
67, 9232
68, 9623
69, 9782
70, 10200
71, 10345
72, 10784
73, 10927
74, 11399
75, 11543
76, 11988
77, 12136
78, 12611
79, 12775
80, 13259
81, 13433
82, 13917
83, 14086
84, 14597
85, 14782
86, 15281
87, 15479
88, 15996
89, 16180
90, 16715
91, 16912
92, 17456
93, 17666
94, 18207
95, 18409
96, 18980
97, 19168
98, 19778
99, 19979
100, 20571
